TOWN,2012,2013,2014,2015,2016,2017,2012_rate,2013_rate,2014_rate,2015_rate,2016_rate,2017_rate,population
OLD SAYBROOK,,,1.0,3.0,2.0,1.0,,,0.982897582072,2.94869274622,1.96579516414,0.982897582072,10174.0
ORANGE,,1.0,,1.0,2.0,2.0,,0.717308657916,,0.717308657916,1.43461731583,1.43461731583,13941.0
OXFORD,1.0,,1.0,3.0,7.0,5.0,0.774233508826,,0.774233508826,2.32270052648,5.41963456178,3.87116754413,12916.0
PLAINFIELD,2.0,2.0,3.0,2.0,4.0,6.0,1.31804402267,1.31804402267,1.97706603401,1.31804402267,2.63608804534,3.95413206801,15174.0
PLAINVILLE,2.0,3.0,4.0,4.0,7.0,6.0,1.12536574387,1.6880486158,2.25073148773,2.25073148773,3.93878010353,3.3760972316,17772.0
PLYMOUTH,3.0,2.0,4.0,3.0,5.0,5.0,2.51551232601,1.67700821734,3.35401643468,2.51551232601,4.19252054335,4.19252054335,11926.0
POMFRET,,1.0,,,,,,2.39120038259,,,,,4182.0
PORTLAND,1.0,1.0,,3.0,4.0,3.0,1.06337728626,1.06337728626,,3.19013185878,4.25350914504,3.19013185878,9404.0
PRESTON,2.0,,1.0,1.0,,1.0,4.24088210348,,2.12044105174,2.12044105174,,2.12044105174,4716.0
PROSPECT,1.0,1.0,,1.0,2.0,1.0,1.02880658436,1.02880658436,,1.02880658436,2.05761316872,1.02880658436,9720.0
PUTNAM,1.0,2.0,2.0,6.0,,1.0,1.06168383056,2.12336766111,2.12336766111,6.37010298333,,1.06168383056,9419.0
REDDING,,1.0,,1.0,,1.0,,1.078050884,,1.078050884,,1.078050884,9276.0
RIDGEFIELD,1.0,3.0,2.0,2.0,1.0,1.0,0.398009950249,1.19402985075,0.796019900498,0.796019900498,0.398009950249,0.398009950249,25125.0
ROCKY HILL,3.0,1.0,2.0,2.0,1.0,1.0,1.50602409639,0.502008032129,1.00401606426,1.00401606426,0.502008032129,0.502008032129,19920.0
SALEM,,1.0,1.0,,,1.0,,2.39865675222,2.39865675222,,,2.39865675222,4169.0
SALISBURY,,1.0,1.0,2.0,,2.0,,2.72553829381,2.72553829381,5.45107658763,,5.45107658763,3669.0
SEYMOUR,1.0,3.0,2.0,4.0,4.0,8.0,0.604594921403,1.81378476421,1.20918984281,2.41837968561,2.41837968561,4.83675937122,16540.0
SHARON,,,1.0,3.0,,1.0,,,3.66837857667,11.00513573,,3.66837857667,2726.0
SHELTON,4.0,5.0,5.0,4.0,13.0,9.0,0.976109714732,1.22013714341,1.22013714341,0.976109714732,3.17235657288,2.19624685815,40979.0
SHERMAN,1.0,,,,,,2.7344818157,,,,,,3657.0
SIMSBURY,1.0,,3.0,3.0,3.0,2.0,0.416406412659,,1.24921923798,1.24921923798,1.24921923798,0.832812825318,24015.0
SOMERS,,,1.0,1.0,5.0,5.0,,,0.879662209711,0.879662209711,4.39831104856,4.39831104856,11368.0
SOUTH WINDSOR,,1.0,1.0,5.0,2.0,4.0,,0.387702089714,0.387702089714,1.93851044857,0.775404179429,1.55080835886,25793.0
SOUTHBURY,,,3.0,,,1.0,,,1.5207583515,,,0.506919450499,19727.0
SOUTHINGTON,4.0,5.0,11.0,9.0,10.0,14.0,0.915855752719,1.1448196909,2.51860331998,2.06067544362,2.2896393818,3.20549513452,43675.0
SPRAGUE,,2.0,1.0,2.0,1.0,,,6.77506775068,3.38753387534,6.77506775068,3.38753387534,,2952.0
STAFFORD,3.0,1.0,2.0,3.0,2.0,2.0,2.51973794725,0.839912649084,1.67982529817,2.51973794725,1.67982529817,1.67982529817,11906.0
STAMFORD,7.0,8.0,8.0,5.0,10.0,16.0,0.549407424849,0.627894199827,0.627894199827,0.392433874892,0.784867749784,1.25578839965,127410.0
STERLING,2.0,,,1.0,,1.0,5.31773464504,,,2.65886732252,,2.65886732252,3761.0
STONINGTON,2.0,,3.0,1.0,5.0,3.0,1.08242680089,,1.62364020133,0.541213400444,2.70606700222,1.62364020133,18477.0
STRATFORD,3.0,7.0,4.0,15.0,20.0,14.0,0.57361376673,1.33843212237,0.764818355641,2.86806883365,3.8240917782,2.67686424474,52300.0
SUFFIELD,,1.0,1.0,2.0,5.0,4.0,,0.640286848508,0.640286848508,1.28057369702,3.20143424254,2.56114739403,15618.0
THOMASTON,,1.0,1.0,3.0,2.0,2.0,,1.29886998311,1.29886998311,3.89660994934,2.59773996623,2.59773996623,7699.0
THOMPSON,,,,3.0,1.0,1.0,,,,3.21646831779,1.07215610593,1.07215610593,9327.0
TOLLAND,1.0,,1.0,4.0,3.0,4.0,0.670960815888,,0.670960815888,2.68384326355,2.01288244767,2.68384326355,14904.0
TORRINGTON,7.0,11.0,15.0,12.0,13.0,17.0,1.98711215829,3.12260482017,4.25809748205,3.40647798564,3.69035115111,4.82584381298,35227.0
TRUMBULL,3.0,2.0,1.0,2.0,4.0,4.0,0.822436055597,0.548290703731,0.274145351866,0.548290703731,1.09658140746,1.09658140746,36477.0
VERNON,2.0,6.0,10.0,5.0,6.0,10.0,0.686341798216,2.05902539465,3.43170899108,1.71585449554,2.05902539465,3.43170899108,29140.0
VOLUNTOWN,,1.0,2.0,1.0,1.0,1.0,,3.86697602475,7.7339520495,3.86697602475,3.86697602475,3.86697602475,2586.0
WALLINGFORD,3.0,5.0,7.0,6.0,15.0,8.0,0.666829669475,1.11138278246,1.55593589544,1.33365933895,3.33414834737,1.77821245193,44989.0
WARREN,,,,,,1.0,,,,,,6.6889632107,1495.0
WASHINGTON,,1.0,,1.0,,1.0,,2.85959393766,,2.85959393766,,2.85959393766,3497.0
WATERBURY,21.0,27.0,32.0,45.0,33.0,44.0,1.92288322605,2.47227843349,2.93010777303,4.12046405582,3.02167364093,4.02889818791,109211.0
